tcga	id	filename	md5	size	state	cna_data_groups
TCGA-IG-A3I8	8cb2f26b-0a8f-4be2-bcc5-4e6bca0b916f	TCGA-IG-A3I8-01A-01-TSA.12AB3F48-B026-46F3-9FA9-23B41C13463A.svs	2cc2ebcae057ce352afa74510814c46e	242779743	released	WWOX_not_del
TCGA-IG-A3QL	4a2eb32e-990a-4f21-b434-f499c0396c42	TCGA-IG-A3QL-01A-01-TSA.A9EBB549-49A5-46BA-BADE-FEF90C9293EF.svs	74b93f80f74423e5aac6dd113787f6e8	139971945	released	WWOX_del
TCGA-IG-A3Y9	44ca1972-b157-4058-90fd-718c8bb99f24	TCGA-IG-A3Y9-01A-01-TSA.468289A3-1C45-421B-B7DA-FEAF607EC4EF.svs	425d18ed03bd61f829f56574163e2730	562383271	released	WWOX_not_del
TCGA-IG-A3YA	92a141a1-cb4f-49a9-92a4-91a1bd3f153e	TCGA-IG-A3YA-01A-01-TSA.52DA03C3-3731-4C53-9137-BE4685465829.svs	05b662094cf044e61719cc5bbb5d5bb3	246082247	released	WWOX_not_del
TCGA-IG-A3YB	7163cb9a-e830-458d-b3b5-6d22d556fad8	TCGA-IG-A3YB-01A-01-TSA.FF45C927-1A61-43E9-8EE6-6149A6E13342.svs	02bb3de551800b8b70d251518fbd3469	425737785	released	WWOX_not_del
TCGA-IG-A3YC	bc61df84-351d-4f1d-a852-d51fdcb08306	TCGA-IG-A3YC-01A-01-TSA.73CAD194-499B-44DE-8D36-1441946C047D.svs	921cba01d58155bf67f37d07e2d60268	315972791	released	WWOX_del
TCGA-IG-A4P3	9521ed45-58b1-45b2-be4d-b46adc0adc2a	TCGA-IG-A4P3-01A-01-TSA.B6239251-EB00-4409-AA62-B93B9E38E72F.svs	37a6930cc2f9d1d5c529a5ec67ad9532	238857871	released	WWOX_not_del
TCGA-IG-A4QT	dbc56e53-8363-4835-9ff8-5dc0f23d875b	TCGA-IG-A4QT-01A-02-TSB.1C9C82A8-A647-4FCD-9CDB-5CB6D957DF55.svs	b1acbcc32ae3e0c7834ed8df30084f9a	150581055	released	WWOX_not_del
TCGA-IG-A50L	1aaa0ed5-3d86-46b0-9a25-21a06d963626	TCGA-IG-A50L-01A-01-TSA.965D7F94-E21E-47A4-B084-7096679A81BC.svs	12524f22b8da3694d4e9e2a5780ce24a	221494343	released	WWOX_del
TCGA-IG-A51D	844bfed2-9297-44f8-b5bb-413ca0c33a5f	TCGA-IG-A51D-01A-01-TSA.0D6F363E-BA20-419B-8DA3-96E079CF435E.svs	0c87782cc39a3ac389fbf378ffc8a160	243155303	released	WWOX_not_del
TCGA-IG-A5B8	242a2e07-fd43-4424-9d44-86f2b95a1c4a	TCGA-IG-A5B8-01A-01-TSA.4AD162CA-C044-4EA2-BC26-FB48337E5CDE.svs	2f93b5ad79a5b8a5201650918132f006	177249187	released	WWOX_not_del
TCGA-IG-A5S3	81eb227a-7721-4f71-9e61-1baab72d6052	TCGA-IG-A5S3-01A-01-TSA.0F1D563E-E7BA-4960-ABE7-AE05B9B3E538.svs	50b058bc48929690f807b693911ba942	206089751	released	WWOX_not_del
TCGA-IG-A625	1c847d4d-de48-4d9b-82b1-beb89540f185	TCGA-IG-A625-01A-01-TSA.6103AE87-0E79-4B82-BD65-718BBB42A862.svs	e223f9f7ed4260916afbf6aba5f2a0cd	199562975	released	WWOX_not_del
TCGA-IG-A6QS	baaba680-3381-4b60-979d-0b3239236aec	TCGA-IG-A6QS-01A-01-TSA.4AB0688C-BC07-40BF-BB1A-54FF00E38D8D.svs	2ff7a04e6da5ed0b350f3595c54b4d9e	191827187	released	WWOX_not_del
